root@xw607_dz_ap0002_v4:/data/python_files/bin # lsof
COMMAND     PID       USER   FD      TYPE             DEVICE  SIZE/OFF       NODE NAME
python      496       root    0       ???                ???       ???        ??? /dev/null
python      496       root    1       ???                ???       ???        ??? /dev/null
python      496       root    2       ???                ???       ???        ??? /dev/null
python      496       root    3       ???                ???       ???        ??? /dev/urandom
python      496       root    4       ???                ???       ???        ??? socket:[5800]
python      496       root    5       ???                ???       ???        ??? socket:[5801]
python      496       root    8       ???                ???       ???        ??? /dev/__properties__
python      496       root  mem       ???              b3:0e         0         97 /data/python_files/bin/python
python      496       root  mem       ???              b3:0e   2174976         97 /data/python_files/bin/python
logcat      506       root  exe       ???                ???       ???        ??? /system/bin/logcat
logcat      506       root    0       ???                ???       ???        ??? /dev/null
logcat      506       root    1       ???                ???       ???        ??? pipe:[5573]
logcat      506       root    2       ???                ???       ???        ??? /dev/null
logcat      506       root    3       ???                ???       ???        ??? /dev/log/main
logcat      506       root    4       ???                ???       ???        ??? /dev/log/system
logcat      506       root    8       ???                ???       ???        ??? /dev/__properties__
logcat      506       root  mem       ???              00:0c         0       1947 /dev/__properties__
logcat      506       root  mem       ???              b3:0a         0      49250 /system/lib/libm.so
logcat      506       root  mem       ???              b3:0a     98304      49250 /system/lib/libm.so
logcat      506       root  mem       ???              b3:0a    102400      49250 /system/lib/libm.so
logcat      506       root  mem       ???              b3:0a         0      49282 /system/lib/libstdc++.so
logcat      506       root  mem       ???              b3:0a         0      49282 /system/lib/libstdc++.so
logcat      506       root  mem       ???              b3:0a      4096      49282 /system/lib/libstdc++.so
logcat      506       root  mem       ???              b3:0a         0      49188 /system/lib/libc.so
grep        507       root  exe       ???                ???       ???        ??? /system/bin/toolbox
grep        507       root    0       ???                ???       ???        ??? pipe:[5573]
grep        507       root    1       ???                ???       ???        ??? /data/dji/log/wifi00.log
grep        507       root    2       ???                ???       ???        ??? /dev/null
grep        507       root    8       ???                ???       ???        ??? /dev/__properties__
grep        507       root  mem       ???              00:0c         0       1947 /dev/__properties__
grep        507       root  mem       ???              b3:0a         0      49272 /system/lib/libselinux.so
wpa_suppl   781       wifi  exe       ???                ???       ???        ??? /system/bin/wpa_supplicant
wpa_suppl   781       wifi    0       ???                ???       ???        ??? /dev/null
wpa_suppl   781       wifi    1       ???                ???       ???        ??? /dev/null
wpa_suppl   781       wifi    2       ???                ???       ???        ??? /dev/null
wpa_suppl   781       wifi    3       ???                ???       ???        ??? /dev/log/main
wpa_suppl   781       wifi    4       ???                ???       ???        ??? /dev/log/radio
wpa_suppl   781       wifi    5       ???                ???       ???        ??? /dev/log/events
wpa_suppl   781       wifi    6       ???                ???       ???        ??? /dev/log/system
wpa_suppl   781       wifi    7       ???                ???       ???        ??? socket:[6238]
wpa_suppl   781       wifi    8       ???                ???       ???        ??? /dev/__properties__
wpa_suppl   781       wifi    9       ???                ???       ???        ??? socket:[2695]
wpa_suppl   781       wifi   10       ???                ???       ???        ??? socket:[5873]
wpa_suppl   781       wifi   11       ???                ???       ???        ??? socket:[5874]
wpa_suppl   781       wifi   12       ???                ???       ???        ??? socket:[5875]
wpa_suppl   781       wifi   13       ???                ???       ???        ??? socket:[5876]
wpa_suppl   781       wifi   15       ???                ???       ???        ??? socket:[5879]
wpa_suppl   781       wifi   16       ???                ???       ???        ??? socket:[5880]
wpa_suppl   781       wifi   17       ???                ???       ???        ??? socket:[5881]
wpa_suppl   781       wifi   18       ???                ???       ???        ??? socket:[5887]
wpa_suppl   781       wifi   19       ???                ???       ???        ??? socket:[5891]
wpa_suppl   781       wifi  mem       ???              00:0c         0       1947 /dev/__properties__
wpa_suppl   781       wifi  mem       ???              b3:0a         0      49230 /system/lib/libgccdemangle.so
dhcpcd     1024       dhcp  exe       ???                ???       ???        ??? /system/bin/dhcpcd
dhcpcd     1024       dhcp    0       ???                ???       ???        ??? /dev/null
dhcpcd     1024       dhcp    1       ???                ???       ???        ??? /dev/null
dhcpcd     1024       dhcp    2       ???                ???       ???        ??? /dev/null
dhcpcd     1024       dhcp    3       ???                ???       ???        ??? socket:[5958]
dhcpcd     1024       dhcp    4       ???                ???       ???        ??? /data/misc/dhcp/dhcpcd-wlan0.pid
dhcpcd     1024       dhcp    5       ???                ???       ???        ??? pipe:[5963]
dhcpcd     1024       dhcp    6       ???                ???       ???        ??? pipe:[5963]
dhcpcd     1024       dhcp    7       ???                ???       ???        ??? socket:[5964]
dhcpcd     1024       dhcp    8       ???                ???       ???        ??? socket:[5965]
dhcpcd     1024       dhcp    9       ???                ???       ???        ??? socket:[5966]
dhcpcd     1024       dhcp  mem       ???              00:0c         0       1947 /dev/__properties__
dhcpcd     1024       dhcp  mem       ???              b3:0a         0      49256 /system/lib/libnetutils.so
dhcpcd     1024       dhcp  mem       ???              b3:0a     24576      49256 /system/lib/libnetutils.so
dhcpcd     1024       dhcp  mem       ???              b3:0a     28672      49256 /system/lib/libnetutils.so
dhcpcd     1024       dhcp  mem       ???              b3:0a         0      49250 /system/lib/libm.so
dhcpcd     1024       dhcp  mem       ???              b3:0a     98304      49250 /system/lib/libm.so
dhcpcd     1024       dhcp  mem       ???              b3:0a    102400      49250 /system/lib/libm.so
dhcpcd     1024       dhcp  mem       ???              b3:0a         0      49282 /system/lib/libstdc++.so
dhcpcd     1024       dhcp  mem       ???              b3:0a         0      49282 /system/lib/libstdc++.so
dhcpcd     1024       dhcp  mem       ???              b3:0a      4096      49282 /system/lib/libstdc++.so
dhcpcd     1024       dhcp  mem       ???              b3:0a         0      49248 /system/lib/liblog.so
dhcpcd     1024       dhcp  mem       ???              b3:0a      8192      49248 /system/lib/liblog.so
dhcpcd     1024       dhcp  mem       ???              b3:0a     12288      49248 /system/lib/liblog.so
dhcpcd     1024       dhcp  mem       ???              b3:0a         0      49202 /system/lib/libcutils.so
dhcpcd     1024       dhcp  mem       ???              b3:0a     32768      49202 /system/lib/libcutils.so
dhcpcd     1024       dhcp  mem       ???              b3:0a     36864      49202 /system/lib/libcutils.so
dhcpcd     1024       dhcp  mem       ???              b3:0a         0      49188 /system/lib/libc.so
adbd       1860       root  exe       ???                ???       ???        ??? /sbin/adbd
adbd       1860       root    0       ???                ???       ???        ??? /dev/null
adbd       1860       root    1       ???                ???       ???        ??? /dev/null
adbd       1860       root    2       ???                ???       ???        ??? /dev/null
adbd       1860       root    3       ???                ???       ???        ??? socket:[7476]
adbd       1860       root    4       ???                ???       ???        ??? socket:[7477]
adbd       1860       root    5       ???                ???       ???        ??? socket:[7478]
adbd       1860       root    6       ???                ???       ???        ??? socket:[7479]
adbd       1860       root    7       ???                ???       ???        ??? socket:[7480]
adbd       1860       root    8       ???                ???       ???        ??? /dev/__properties__
adbd       1860       root    9       ???                ???       ???        ??? socket:[7481]
adbd       1860       root   10       ???                ???       ???        ??? /dev/android_adb
adbd       1860       root   11       ???                ???       ???        ??? socket:[7482]
adbd       1860       root   12       ???                ???       ???        ??? socket:[7483]
adbd       1860       root   13       ???                ???       ???        ??? /dev/ptmx
adbd       1860       root  mem       ???              00:01         0       1925 /sbin/adbd
adbd       1860       root  mem       ???              00:01    155648       1925 /sbin/adbd
adbd       1860       root  mem       ???              00:01    159744       1925 /sbin/adbd
busybox    1987       root  exe       ???                ???       ???        ??? /system/xbin/busybox
busybox    1987       root    0       ???                ???       ???        ??? /dev/null
busybox    1987       root    1       ???                ???       ???        ??? /dev/null
busybox    1987       root    2       ???                ???       ???        ??? /dev/null
busybox    1987       root    3       ???                ???       ???        ??? pipe:[6717]
busybox    1987       root    4       ???                ???       ???        ??? pipe:[6717]
busybox    1987       root    5       ???                ???       ???        ??? socket:[6718]
busybox    1987       root  mem       ???              b3:0a         0      51203 /system/xbin/busybox
busybox    1987       root  mem       ???              b3:0a   1363968      51203 /system/xbin/busybox
lsof       3245       root  exe       ???                ???       ???        ??? /system/bin/toolbox
lsof       3245       root    0       ???                ???       ???        ??? /dev/pts/0
lsof       3245       root    1       ???                ???       ???        ??? /dev/pts/0
lsof       3245       root    2       ???                ???       ???        ??? /dev/pts/0
lsof       3245       root    3       ???                ???       ???        ??? /proc
lsof       3245       root    4       ???                ???       ???        ??? /proc/3245/fd
lsof       3245       root    8       ???                ???       ???        ??? /dev/__properties__
lsof       3245       root  mem       ???              00:0c         0       1947 /dev/__properties__
lsof       3245       root  mem       ???              b3:0a         0      49272 /system/lib/libselinux.so
Couldn't read /proc/3254/cmdline
Couldn't read /proc/3255/cmdline
Couldn't read /proc/3258/cmdline
sh         7122       root  exe       ???                ???       ???        ??? /system/bin/mksh
sh         7122       root    0       ???                ???       ???        ??? /dev/pts/0
sh         7122       root    1       ???                ???       ???        ??? /dev/pts/0
sh         7122       root    2       ???                ???       ???        ??? /dev/pts/0
sh         7122       root    8       ???                ???       ???        ??? /dev/__properties__
sh         7122       root   10       ???                ???       ???        ??? /dev/tty
sh         7122       root  mem       ???              00:0c         0       1947 /dev/__properties__
sh         7122       root  mem       ???              b3:0a         0      49188 /system/lib/libc.so
